epoch,train_loss,val_loss,val_accuracy,lr
0,0.217678,0.196387,0.536667,0.001
1,0.187541,0.190137,0.52,0.001
2,0.179238,0.181288,0.568333,0.001
3,0.176013,0.185412,0.506667,0.001
4,0.17266,0.177634,0.625,0.001
5,0.170448,0.179399,0.608333,0.001
6,0.168903,0.174569,0.588333,0.001
7,0.167573,0.174003,0.641667,0.001
8,0.165938,0.171392,0.61,0.001
9,0.164406,0.171242,0.605,0.001
10,0.163389,0.169482,0.64,0.001
11,0.162158,0.167715,0.653333,0.001
12,0.16067,0.166049,0.645,0.001
13,0.159143,0.168037,0.626667,0.001
14,0.15873,0.16374,0.65,0.001
15,0.157532,0.164085,0.643333,0.001
16,0.156237,0.166002,0.633333,0.001
17,0.154987,0.164645,0.65,0.001
18,0.153486,0.15976,0.651667,0.001
19,0.152433,0.159876,0.661667,0.001
20,0.151004,0.16373,0.64,0.001
21,0.15011,0.165469,0.628333,0.001
22,0.149125,0.157697,0.653333,0.001
23,0.14727,0.161825,0.66,0.001
24,0.146098,0.154712,0.643333,0.001
25,0.14576,0.152863,0.661667,0.001
26,0.144124,0.152585,0.673333,0.001
27,0.143302,0.163071,0.615,0.001
28,0.142569,0.153212,0.663333,0.001
29,0.140966,0.14991,0.663333,0.001
30,0.139423,0.152778,0.653333,0.001
31,0.13823,0.149559,0.678333,0.001
32,0.137502,0.148092,0.675,0.001
33,0.136648,0.146479,0.67,0.001
34,0.135711,0.145016,0.671667,0.001
35,0.134069,0.147894,0.666667,0.001
36,0.133989,0.143214,0.666667,0.001
37,0.133113,0.143538,0.678333,0.001
38,0.131521,0.142733,0.666667,0.001
39,0.130816,0.146833,0.676667,0.001
40,0.129853,0.143391,0.68,0.001
41,0.130196,0.143573,0.671667,0.001
42,0.128767,0.139592,0.678333,0.001
43,0.128174,0.140722,0.666667,0.001
44,0.127257,0.140206,0.666667,0.001
45,0.127431,0.137165,0.673333,0.001
46,0.126472,0.142673,0.671667,0.001
47,0.125914,0.1428,0.695,0.001
48,0.125816,0.136365,0.673333,0.001
49,0.124595,0.137003,0.685,0.001
50,0.123236,0.137091,0.675,0.001
51,0.122783,0.137314,0.67,0.001
52,0.122062,0.137577,0.688333,0.001
53,0.121615,0.142782,0.656667,0.001
54,0.121069,0.139242,0.688333,0.001
55,0.120864,0.134601,0.681667,0.001
56,0.11994,0.139282,0.675,0.001
57,0.119504,0.13347,0.69,0.001
58,0.119434,0.134897,0.686667,0.001
59,0.119504,0.136213,0.683333,0.001
